Topic,Technical Term,Meaning,Use Case,Further Reading and Interrelationships,Source
Evolutionary Algorithms (EA),Genetic Algorithm (GA),"A search optimization framework inspired by natural selection that approximates optimal solutions across non-convex search spaces using mechanisms like selection, mutation, and crossover.",Used for T-depth reduction in Fault-Tolerant Quantum Computing (FTQC) or identifying parameters of fuzzy systems.,Related to NP-hard optimization problems; used within Evolvable Hardware and Neuroevolution frameworks.,"6, 10-12"
Evolutionary Algorithms (EA),Genetic Programming (GP),An evolutionary computation technique that evolves computer programs or symbolic expressions (typically encoded as trees) to solve specific tasks.,"Creating interpretable functional mappings for dimensionality reduction (GP-tSNE), symbolic regression, or discovering trading rules.",Pioneered by John Koza; variants include Linear and Cartesian GP. Related to XAI model extraction.,"7, 13-15"
Evolutionary Algorithms (EA),Cartesian Genetic Programming (CGP),"A graph-based representation model where programs or circuits are encoded as directed acyclic graphs, typically organized in a two-dimensional grid of functional nodes.","Applied to digital circuit synthesis, neural architecture search, image processing, and evolving fault-tolerant electronics.",Introduced by Julian Miller; features 'neutrality' where redundant genes allow for neutral drift in the search space.,16-18
Evolutionary Algorithms (EA),NSGA-II,A Fast and Elitist Multiobjective Genetic Algorithm used for optimizing multiple competing objectives using Pareto fronts and crowding distance.,Used for the evolutionary synthesis of failure-resilient analog circuits like square root and natural logarithm computational circuits.,Proposed by Deb et al. (2002); utilizes Pareto non-dominance sorting.,19
Evolutionary Algorithms (EA),NSGA-III,A multi-objective genetic algorithm that uses a reference-point-based non-dominated sorting approach to maintain population diversity.,Optimizing urban traffic signal timing by simultaneously considering conflicting objectives like traffic capacity and emissions.,An evolution of NSGA-II; replaces crowding distance with reference points for constrained multi-objective optimization.,20
Evolutionary Algorithms (EA),Neutrality,A selection strategy where individuals with the same fitness as the parent (neutral genetic drift) are chosen to provide diversity and escape local optima.,Used in CGP search algorithms to navigate search landscapes where many different genotypes represent the same functional phenotype.,Forms a random walk on the neutral neighborhood; research by Vassilev and Miller (2000) demonstrates advantages in Boolean landscapes.,"16, 17"
Evolutionary Algorithms (EA),Control Variable Genetic Programming (CVGP),An incremental building approach for symbolic regression that fits increasingly complex equations by conducting experiments where some variables are held constant.,Regressing symbolic expressions involving many independent variables by starting from simple reduced-form equations.,Inspired by BACON systems; theoretically reduces search spaces from exponential to polynomial complexity.,21
Evolutionary Algorithms (EA),Mutation,"A small, random change applied to an individual candidate solution in an evolutionary population to explore the search space.",Tweaking synaptic weights in a neural network to improve fitness scores.,One of the three core genetic operators alongside selection and crossover.,"11, 12"
Evolutionary Algorithms (EA),Crossover,A genetic operator that mimics sexual reproduction by combining parts of two or more parent solutions to create new offspring.,Helping an evolutionary search escape local optima or plateaus by navigating the search space in unexpected ways.,Also known as recombination; essential for maintaining diversity in population models.,"11, 12"
Evolutionary Algorithms (EA),Evolutionary Algorithm (EA) Framework,An optimization framework that evolves a population of candidate solutions (circuits) through iterative selection and mutation (optimization).,Applied to optimize logic circuits by escaping local optima and maintaining a population of elite circuit structures.,Assisted by Reinforcement Learning (RL) agent restarting techniques in the proposed T-Net optimization module.,22
Intuitionistic Logic,BHK Interpretation,The standard explanation of intuitionistic logic (Brouwer-Heyting-Kolmogorov) where truth is defined in terms of proofs and constructive evidence rather than bivalent truth values.,Provides the semantic foundation for constructive mathematics and proof assistants like Coq to verify logical validity computationally.,Linked to the Curry-Howard correspondence; rejects the Law of Excluded Middle and Double Negation Elimination.,"13, 23-26"
Intuitionistic Logic,Kripke Semantics,A model-theoretic framework (Kripke Structure) consisting of a partially ordered set of nodes representing stages of knowledge or possible worlds.,Used to model the monotonic accumulation of knowledge and establish the correctness of intuitionistic predicate logic.,Proposed by Kripke (1965); resembles classical model theory but uses a forcing relation for knowledge states.,"24, 25, 27"
Intuitionistic Logic,Law of Excluded Middle (LEM),"The classical logical principle stating that for any proposition, either that proposition is true, or its negation is true ( $A \lor \neg A$ ).",Rejected in intuitionistic logic to ensure that a statement is only asserted if a constructive proof exists.,Its rejection distinguishes intuitionism from platonism; relates to Gödel's incompleteness theorem.,"27, 28"
Intuitionistic Logic,Intuitionism,A philosophy of logic and mathematics where meaning is given by proof conditions (mental constructions) rather than objective truth conditions.,Rejecting the Law of Excluded Middle in undecided mathematical conjectures like the twin prime conjecture.,Connected to verificationism and Kripke semantics where worlds represent states of information.,28
Intuitionistic Logic,Heyting Arithmetic (HA),"The intuitionistic formalization of first-order number theory, sharing the same non-logical axioms as Peano arithmetic but using intuitionistic logic.",Serves as the formal basis for studying constructive and recursive mathematics.,Proof-theoretically equivalent to Peano Arithmetic (PA); supports Burr's arithmetical hierarchy.,27
Intuitionistic Logic,Double Negation Translation,A method of embedding classical first-order logic into intuitionistic logic by adding negations before existential quantifiers and atoms.,Proving classical theorems within a constructive framework by showing their double-negated variants are intuitionistically valid.,Also known as the Gödel-Gentzen translation; connects classical logic's provability to intuitionistic validity.,23
Intuitionistic Logic,Existence Property,An invariant in intuitionistic logic where the system rejects the assumption that a solution exists unless it can algorithmically construct it.,Preventing AI models from hallucinating logical pathways that they cannot specifically bridge with variables.,Used as a 'Structural Invariant' to govern AI reasoning and ensure epistemic validity.,29
Logic Synthesis,Logic Synthesis (LS),The process of transforming a behavioral-level description of a design into an optimized gate-level circuit to minimize delay and area.,Used in EDA tool-chains to generate optimized logic circuits satisfying given functionalities for IC design.,"Consists of translation, optimization, and technology mapping; relates to neural circuit generation frameworks like T-Net.",22
Logic Synthesis,Technology Mapping,"The phase in logic synthesis where an optimized logic description is mapped to a specific technology library (e.g., standard-cell netlists, k-input LUTs).","Finalizing the hardware implementation for ASICs or FPGAs, ensuring circuits exploit specific manufacturing processes like FinFET.",Relates to Boolean matching; integrated with physical design and tools like ABC for performance improvement.,"1, 22"
Logic Synthesis,Evolvable Hardware (EHW),"Hardware design method where circuits autonomously adapt, optimize, and reconfigure their function via evolutionary algorithms and reconfigurable structures like FPGAs.","Used in robotics for obstacle avoidance, aerospace for fault tolerance, and creating adaptive digital filters.",Distinguished from evolutionary circuit design; research includes 'embryonic systems' with self-healing properties.,"10, 18, 30, 31"
Logic Synthesis,Equivalence Checking,A formal verification technique used to determine if two different representations of a circuit exhibit the same functional behavior.,Used in logic synthesis pipelines to ensure that optimizations do not alter the original circuit logic.,Utilizes SAT solvers and BDDs; extends to quantum circuit equivalence checking using ZX-calculus.,1
Logic Synthesis,Binary Decision Diagram (BDD),A data structure used to represent Boolean functions in a compact and canonical way.,"Used for efficient Boolean function manipulation, optimization, and equivalence checking in digital circuit design.",Evolved into variants like Majority-Inverter Graphs (MIGs) and Quantum Multiple-valued Decision Diagrams (QMDDs).,1
Logic Synthesis,And-Inverter Graphs (AIG),"A directed acyclic graph representation of Boolean networks consisting of constant nodes, primary inputs, primary outputs, and two-input AND nodes with complemented edges.",Depicting circuits during the logic synthesis stage to offer a concise representation for optimization.,Relates to Boolean networks; used as the underlying structure for DNAS-based circuit generation methods.,22
Logic Synthesis,Shannon decomposition theorem,A theorem stating that any Boolean function can be decomposed into two sub-functions by selecting and fixing a decomposing variable.,Used in the T-Net framework to partition large truth tables into smaller sub-tables for multi-label data transformation.,Foundational to Boolean algebra; enables recursive partition-and-merge strategies for scalability.,22
Logic Synthesis,Differentiable Neural Architecture Search (DNAS),A method that leverages gradient descent to search for optimal circuit structures by translating discrete logic components into differentiable counterparts.,Synthesizing exact logic circuits directly from input-output examples (truth tables).,Suffer from 'The Curse of Skip-Connection'; improved by frameworks like T-Net to address scalability.,22
Logic Synthesis,Arithmetic Normal Form (ANF),"A representation of Boolean functions consisting of polynomial equations over GF(2), utilizing XOR and AND operations.",Used in cryptographic analysis and ML-based SAT solving because it captures algebraic structures like modular addition.,Contrasted with Conjunctive Normal Form (CNF); ANF-based networks (CryptoANFNet) outperform CNF-based ones in cryptography tasks.,3
Logic Synthesis,Sequential Logic Evolution,The process of searching state transition spaces to find hardware configurations with state elements and time-dependent feedback loops.,"Synthesizing frequency detectors, counters, and serial adders with minimal logic gates.",More complex than combinational evolution; often uses GA to optimize D-flip-flop connections.,"18, 31"
Logic Synthesis,Field-Programmable Gate Arrays (FPGAs),Reprogrammable hardware components that provide the foundation for real-time circuit optimization and adaptation in EHW.,Implementing evolvable hardware systems like the Xilinx Virtex II Pro for digital circuit design.,Crucial for intrinsic evolution where circuits are tested directly on hardware rather than in simulation.,10
Logic Synthesis,Genetic Fuzzy Systems,Fuzzy systems where the structure (rules) and parameters (membership functions) are identified using genetic algorithms or genetic programming.,Modeling complex non-linear tasks such as a driver parking a car using linguistic rules.,Part of the 'soft computing' framework; addresses limitations of traditional linear optimization tools.,12
Explainable AI (XAI),Explainable AI (XAI),Methods and techniques designed to make the outputs and decision-making processes of AI systems understandable to humans.,Providing audit trails for regulatory compliance or detecting biases in high-stakes domains like medicine or finance.,"Distinguished from 'interpretability'. Encompasses post-hoc explanations like LIME, SHAP, and counterfactuals.",7
Explainable AI (XAI),Counterfactual Explanations,Explanations that describe hypothetical scenarios showing how a change in input features would lead to a different model decision.,Explaining why a loan was denied by stating the specific income increase required for approval.,Closely related to adversarial examples. Tools like DiCE and CERTIFAI (using GAs) are used to generate these.,7
Explainable AI (XAI),Local Interpretable Model-agnostic Explanations (LIME),A post-hoc explanation method that fits a linear surrogate model around a specific data point to approximate a black-box model's local behavior.,Explaining individual predictions of a complex classifier by identifying which features most influenced that outcome.,Contrasted with GPX (Genetic Programming Explainer) which handles non-linear local patterns more effectively.,7
Many-valued Logics,Truth-value Gaps,"Sentences that are neither true nor false, typically arising from denotation failure or future contingents.",Evaluating statements about non-existent objects like 'The King of France is bald'.,Used in Kleene logic (K3); relates to Aristotle's sea-fight argument.,28
Many-valued Logics,Truth-value Gluts,"Sentences that are both true and false, often found in paradoxes of self-reference or inconsistent laws.",Resolving the Liar Paradox ('This sentence is false') or inconsistent traffic regulations.,Formally handled in the Logic of Paradox (LP) and paraconsistent logic frameworks.,28
Relevant Logics,First Degree Entailment (FDE),A basic system of relevant and paraconsistent logic where interpretations allow for truth-value gaps and gluts.,Preventing 'explosion' where a contradiction implies any arbitrary conclusion.,Can be formulated using the Routley star semantics or 4-valued many-valued semantics.,28
Relevant Logics,Ternary Relation,A three-place accessibility relation ( $Rxyz$ ) used to provide truth conditions for conditionals at non-normal worlds.,Modeling information flow or the pooling of information between different states.,Central to the Routley-Meyer semantics for basic relevant logic B and its extensions like R.,28
Modal Logic,Possible Worlds Semantics,A semantical technique where validity is defined over a set of worlds linked by an accessibility relation.,"Analyzing concepts of necessity, possibility, and tense in natural language.",Unifying theme for non-classical logics; related to Modal Realism and Modal Actualism.,28
Modal Logic,Non-normal Worlds,Worlds where the laws of logic are different and standard modal operators (Necessity/Possibility) behave non-recursively.,"Providing semantics for Lewis' modal systems weaker than S4, such as S2 and S3.",Key component in relevant logic to avoid paradoxes of strict implication.,28
Modal Logic,Rigid Designator,A term that denotes the same object in every possible world where that object exists.,Proper names like 'Aristotle' as opposed to descriptions like 'the teacher of Alexander'.,Contrast with non-rigid designators; central to Kripke's causal theory of reference.,28
Fuzzy Logics,Sorites Paradox,A paradox involving vague predicates where small changes lead from a true premise to a false conclusion.,Analyzing the transition from 'child' to 'adult' or 'heap' to 'non-heap'.,Addressed by continuum-valued logics ( $\mathcal{L}$ ) and the use of t-norms.,28
Fuzzy Logics,Distance Metric,"A function measuring the difference between objects, used to define fuzzy identity predicates.",Defining identity values for objects undergoing gradual part replacement (Ship of Theseus).,Provides a formal framework for 'vague objects' and indeterminate identities.,28
Logic and Optimization,Non-convexity,"A property of functions where the line segment between two points on the graph does not necessarily lie above the graph, leading to multiple local optima.",Describing the complex loss landscapes of Deep Neural Networks which can have many equivalent solutions.,Contrasted with convexity. Linked to the failure of standard gradient descent in complex landscapes.,9
AI Safety and Topology,Latent Semiotic Gravity,"The mathematical density created by cultural tropes and narrative structures in an AI's latent space, which functions as a semantic attractor.",Analyzing why an AI might prioritize a 'dramatic climax' over mathematical validity in a proof.,"Can lead to 'Semantic Saponification,' where causal logic breaks down into probabilistic drama.",32
AI Safety and Topology,Bicameral Topology,An AI architecture that physically decouples generative spaces (high-entropy) from epistemic verification (non-parametric laws).,Ensuring an AI can explore human semantics without its core logic being crushed by narrative tropes.,Utilizes a Generative Hemisphere and a Verification Hemisphere with different mathematical weights.,32
AI Safety and Topology,Constitutional Immunity Collapse,A failure mode where alignment training (like RLHF) makes a model unable to distinguish between legitimate roleplay and malicious jailbreaks.,When a model terminates a generation during a cybersecurity simulation because it detects a 'high-tension' trope.,Related to Sycophantic Risk Aversion in heavily aligned models like Claude 4.6 Opus.,32
